place_id;name;zone;zona_cat;rating;total_reviews;price_level;rango_precio;primary_type;tipo_comida;calificacion_cat;sentimiento;cluster;cluster_label
ChIJbT8sfgCprI8Rm3vVsPDNT-M;McDonald's;Balboa;Albrook;4.2;257;Desconocido;Medio ($$);fast_food_restaurant;Fast Food;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJKxCwdR6mrI8RH65GPfhfk1Y;Papa Johns Pizza;Balboa;Albrook;4.2;934;Moderado ($$);Medio ($$);pizza_restaurant;Italiana;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJozwef0qprI8Ryk-gwzrtd6Y;China Town Buffet;Balboa;Albrook;4;99;Desconocido;Medio ($$);chinese_restaurant;China;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJtf5AJ6morI8RXgQX8EZDljI;McDonald's Ferromac;Balboa;Albrook;3.7;2211;Económico ($);Económico ($);fast_food_restaurant;Fast Food;Bueno (3.5-3.9);Neutral;4;C4: Fusión | Alto ($$$) | Marbella | ?4.4
ChIJL-GN9_qorI8RMArEHjEQS-8;Sugoi Caribbean Sushi | El Cangrejo;Bella Vista;Bella Vista;4.8;5598;Moderado ($$);Medio ($$);asian_fusion_restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJO_OlvQCprI8RdkROekQpvl8;La Tapa Del Coco;Bella Vista;Bella Vista;4.7;4598;Moderado ($$);Medio ($$);seafood_restaurant;Mariscos;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJVcviqf2orI8RQuqzC5rn5bc;Restaurante Makoto;Bella Vista;Bella Vista;4.7;1232;Caro ($$$);Alto ($$$);japanese_restaurant;Japonesa;Excelente (4.5-5.0);Muy positivo;4;C4: Fusión | Alto ($$$) | Marbella | ?4.4
ChIJ604eTu-orI8RmwD78MTPOEQ;Os Segredos Da Carne;Bella Vista;Bella Vista;4.6;3780;Moderado ($$);Medio ($$);brazilian_restaurant;Fusión;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJB7aAF9KprI8RztJbhyqjrqY;Lucca El Cangrejo Panamá;Bella Vista;Bella Vista;4.6;2682;Moderado ($$);Medio ($$);italian_restaurant;Italiana;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
ChIJaViLGmeprI8Rlo9Ut5F1LNQ;LUNA ROOFTOP;Bella Vista;Bella Vista;4.6;1364;Moderado ($$);Medio ($$);bar_and_grill;Americana;Excelente (4.5-5.0);Muy positivo;0;C0: Fusión | Medio ($$) | Albrook | ?4.6
